Step,Accuracy,Precision,Recall
29700,0.7574,0.8181,0.7969
29800,0.7577,0.8184,0.7970
29900,0.7577,0.8184,0.7971
30000,0.7579,0.8184,0.7975
30100,0.7579,0.8180,0.7963
30200,0.7577,0.8177,0.7967
30300,0.7576,0.8179,0.7964
30400,0.7577,0.8182,0.7973
30500,0.7579,0.8178,0.7972
30600,0.7577,0.8171,0.7969
30700,0.7580,0.8174,0.7972
30800,0.7580,0.8175,0.7972
30900,0.7580,0.8181,0.7973
31000,0.7581,0.8184,0.7974
31100,0.7581,0.8178,0.7971
31200,0.7581,0.8177,0.7968
31300,0.7580,0.8180,0.7969
31400,0.7581,0.8176,0.7971
31500,0.7580,0.8175,0.7973
31600,0.7580,0.8173,0.7974
31700,0.7582,0.8175,0.7975
31800,0.7582,0.8170,0.7976
31900,0.7582,0.8166,0.7966
32000,0.7583,0.8159,0.7958
32100,0.7584,0.8153,0.7958
32200,0.7582,0.8148,0.7959
32300,0.7580,0.8147,0.7951
32400,0.7576,0.8140,0.7952
32500,0.7576,0.8139,0.7955
32600,0.7577,0.8145,0.7954
32700,0.7578,0.8146,0.7955
32800,0.7578,0.8139,0.7959
32900,0.7578,0.8139,0.7947
33000,0.7579,0.8136,0.7952
33100,0.7577,0.8128,0.7955
33200,0.7578,0.8131,0.7953
33300,0.7577,0.8135,0.7946
33400,0.7577,0.8133,0.7947
33500,0.7577,0.8131,0.7945
33600,0.7579,0.8133,0.7948
33700,0.7578,0.8132,0.7950
33800,0.7578,0.8134,0.7954
33900,0.7579,0.8140,0.7954
34000,0.7580,0.8142,0.7958
34100,0.7580,0.8138,0.7957
34200,0.7580,0.8140,0.7945
34300,0.7582,0.8138,0.7949
34400,0.7583,0.8142,0.7948
34500,0.7582,0.8144,0.7947
34600,0.7583,0.8145,0.7943
34700,0.7583,0.8146,0.7944
34800,0.7582,0.8140,0.7946
34900,0.7583,0.8138,0.7947
35000,0.7582,0.8140,0.7944
35100,0.7581,0.8138,0.7946
35200,0.7582,0.8141,0.7947
35300,0.7581,0.8138,0.7940
35400,0.7580,0.8137,0.7939
35500,0.7581,0.8142,0.7938
35600,0.7582,0.8140,0.7933
35700,0.7583,0.8143,0.7932
35800,0.7581,0.8138,0.7938
35900,0.7581,0.8138,0.7940
36000,0.7581,0.8133,0.7945
36100,0.7582,0.8136,0.7947
36200,0.7580,0.8139,0.7946
36300,0.7582,0.8135,0.7945
36400,0.7581,0.8136,0.7939
36500,0.7581,0.8143,0.7940
36600,0.7581,0.8140,0.7934
36700,0.7581,0.8139,0.7931
36800,0.7582,0.8140,0.7926
36900,0.7581,0.8143,0.7927
37000,0.7580,0.8145,0.7921
37100,0.7580,0.8146,0.7918
37200,0.7583,0.8151,0.7922
37300,0.7582,0.8152,0.7926
37400,0.7582,0.8156,0.7931
37500,0.7582,0.8160,0.7928
37600,0.7585,0.8160,0.7931
37700,0.7586,0.8165,0.7930
37800,0.7587,0.8167,0.7930
37900,0.7588,0.8168,0.7931
38000,0.7589,0.8168,0.7936
38100,0.7591,0.8170,0.7935
38200,0.7592,0.8173,0.7940
38300,0.7591,0.8165,0.7942
38400,0.7593,0.8167,0.7949
38500,0.7592,0.8164,0.7948
38600,0.7591,0.8165,0.7950
38700,0.7591,0.8164,0.7948
38800,0.7592,0.8167,0.7951
38900,0.7591,0.8162,0.7947
39000,0.7591,0.8164,0.7951
39100,0.7592,0.8169,0.7952
39200,0.7593,0.8168,0.7950
39300,0.7593,0.8170,0.7954
39400,0.7594,0.8168,0.7958
39500,0.7595,0.8173,0.7950
39600,0.7597,0.8175,0.7953
39700,0.7597,0.8179,0.7949
39800,0.7597,0.8180,0.7955
39900,0.7597,0.8184,0.7957
40000,0.7598,0.8186,0.7958
40100,0.7599,0.8190,0.7961
40200,0.7599,0.8191,0.7966
40300,0.7599,0.8193,0.7969
40400,0.7598,0.8192,0.7968
40500,0.7599,0.8195,0.7973
40600,0.7600,0.8195,0.7976
40700,0.7602,0.8193,0.7979
40800,0.7604,0.8196,0.7982
40900,0.7603,0.8197,0.7982
41000,0.7602,0.8190,0.7980
41100,0.7604,0.8197,0.7985
41200,0.7604,0.8201,0.7988
41300,0.7606,0.8202,0.7989
41400,0.7606,0.8201,0.7985
41500,0.7608,0.8198,0.7986
41600,0.7609,0.8201,0.7990
41700,0.7609,0.8197,0.7991
41800,0.7611,0.8198,0.7994
41900,0.7611,0.8197,0.7995
42000,0.7611,0.8195,0.7996
42100,0.7611,0.8196,0.7997
42200,0.7611,0.8198,0.7996
42300,0.7612,0.8199,0.7997
42400,0.7612,0.8201,0.7994
42500,0.7612,0.8201,0.7998
42600,0.7613,0.8199,0.8002
42700,0.7613,0.8200,0.8004
42800,0.7613,0.8204,0.8004
42900,0.7612,0.8207,0.8005
43000,0.7613,0.8206,0.8006
43100,0.7612,0.8208,0.8003
43200,0.7612,0.8207,0.8002
43300,0.7613,0.8206,0.8004
43400,0.7611,0.8203,0.7999
43500,0.7612,0.8200,0.7997
43600,0.7612,0.8200,0.7994
43700,0.7612,0.8199,0.7991
43800,0.7613,0.8196,0.7988
43900,0.7611,0.8197,0.7987
44000,0.7613,0.8198,0.7989
44100,0.7612,0.8198,0.7985
44200,0.7611,0.8197,0.7984
44300,0.7611,0.8195,0.7985
44400,0.7613,0.8198,0.7990
44500,0.7612,0.8198,0.7988
44600,0.7613,0.8199,0.7991
44700,0.7612,0.8197,0.7986
44800,0.7610,0.8195,0.7983
44900,0.7610,0.8197,0.7979
45000,0.7611,0.8198,0.7981
45100,0.7611,0.8199,0.7977
45200,0.7610,0.8199,0.7979
45300,0.7610,0.8203,0.7984
45400,0.7611,0.8203,0.7986
45500,0.7610,0.8202,0.7982
45600,0.7609,0.8203,0.7981
45700,0.7610,0.8204,0.7985
45800,0.7609,0.8201,0.7984
45900,0.7609,0.8198,0.7984
46000,0.7607,0.8198,0.7986
46100,0.7606,0.8199,0.7990
46200,0.7607,0.8201,0.7992
46300,0.7606,0.8199,0.7995
46400,0.7606,0.8198,0.7995
46500,0.7605,0.8201,0.7991
46600,0.7604,0.8199,0.7987
46700,0.7603,0.8198,0.7987
46800,0.7604,0.8198,0.7987
46900,0.7602,0.8194,0.7990
47000,0.7604,0.8195,0.7989
47100,0.7604,0.8195,0.7993
47200,0.7603,0.8191,0.7991
47300,0.7603,0.8186,0.7985
47400,0.7601,0.8188,0.7980
47500,0.7602,0.8194,0.7981
47600,0.7603,0.8190,0.7983
47700,0.7602,0.8185,0.7984
47800,0.7602,0.8185,0.7986
47900,0.7602,0.8189,0.7985
48000,0.7602,0.8191,0.7982
48100,0.7603,0.8192,0.7985
48200,0.7603,0.8190,0.7984
48300,0.7603,0.8189,0.7981
48400,0.7603,0.8189,0.7977
48500,0.7604,0.8189,0.7979
48600,0.7604,0.8192,0.7978
48700,0.7604,0.8190,0.7978
48800,0.7605,0.8192,0.7978
48900,0.7605,0.8197,0.7980
49000,0.7604,0.8191,0.7983
49100,0.7604,0.8187,0.7984
49200,0.7603,0.8187,0.7984
49300,0.7602,0.8187,0.7986
49400,0.7604,0.8184,0.7988
49500,0.7602,0.8184,0.7988
49600,0.7604,0.8182,0.7988
49700,0.7603,0.8184,0.7988
49800,0.7603,0.8183,0.7990
49900,0.7603,0.8180,0.7991
50000,0.7603,0.8178,0.7992
50100,0.7603,0.8183,0.7992
50200,0.7602,0.8185,0.7992
50300,0.7603,0.8187,0.7995
50400,0.7604,0.8186,0.7997
50500,0.7605,0.8189,0.7998
50600,0.7604,0.8186,0.7997
50700,0.7604,0.8189,0.7999
50800,0.7604,0.8189,0.8002
50900,0.7603,0.8186,0.8005
51000,0.7604,0.8188,0.8008
51100,0.7603,0.8181,0.8009
51200,0.7602,0.8180,0.8012
51300,0.7601,0.8177,0.8014
51400,0.7602,0.8179,0.8017
51500,0.7602,0.8178,0.8017
51600,0.7601,0.8178,0.8019
51700,0.7601,0.8181,0.8017
51800,0.7601,0.8176,0.8020
51900,0.7600,0.8174,0.8019
52000,0.7601,0.8175,0.8019
52100,0.7600,0.8176,0.8021
52200,0.7601,0.8176,0.8024
52300,0.7601,0.8174,0.8021
52400,0.7602,0.8177,0.8019
52500,0.7602,0.8178,0.8019
52600,0.7602,0.8178,0.8017
52700,0.7601,0.8177,0.8017
52800,0.7601,0.8178,0.8017
52900,0.7601,0.8181,0.8015
53000,0.7601,0.8182,0.8017
53100,0.7601,0.8180,0.8020
53200,0.7601,0.8181,0.8013
53300,0.7603,0.8183,0.8009
53400,0.7604,0.8183,0.8011
53500,0.7604,0.8186,0.8013
53600,0.7605,0.8188,0.8016
53700,0.7604,0.8187,0.8012
53800,0.7604,0.8187,0.8016
53900,0.7604,0.8184,0.8017
54000,0.7605,0.8185,0.8020
54100,0.7604,0.8190,0.8021
54200,0.7604,0.8193,0.8022
54300,0.7606,0.8193,0.8023
54400,0.7606,0.8194,0.8022
54500,0.7606,0.8198,0.8026
54600,0.7606,0.8199,0.8028
54700,0.7604,0.8198,0.8029
54800,0.7605,0.8201,0.8030
54900,0.7605,0.8200,0.8026
55000,0.7604,0.8200,0.8027
55100,0.7604,0.8198,0.8030
55200,0.7604,0.8197,0.8029
55300,0.7604,0.8200,0.8027
55400,0.7605,0.8201,0.8022
55500,0.7603,0.8204,0.8024
55600,0.7604,0.8204,0.8028
55700,0.7604,0.8200,0.8026
55800,0.7603,0.8204,0.8026
55900,0.7604,0.8203,0.8028
56000,0.7605,0.8204,0.8030
56100,0.7604,0.8202,0.8028
56200,0.7604,0.8200,0.8030
56300,0.7604,0.8200,0.8030
56400,0.7604,0.8201,0.8033
56500,0.7604,0.8202,0.8034
56600,0.7604,0.8202,0.8034
56700,0.7603,0.8200,0.8035
56800,0.7602,0.8202,0.8037
56900,0.7603,0.8204,0.8041
57000,0.7603,0.8205,0.8041
57100,0.7604,0.8203,0.8042
57200,0.7605,0.8206,0.8045
57300,0.7605,0.8205,0.8046
57400,0.7605,0.8207,0.8046
57500,0.7605,0.8205,0.8048
57600,0.7606,0.8208,0.8052
57700,0.7607,0.8207,0.8053
57800,0.7607,0.8205,0.8049
57900,0.7608,0.8207,0.8050
58000,0.7608,0.8210,0.8051
58100,0.7608,0.8212,0.8051
58200,0.7608,0.8211,0.8052
58300,0.7607,0.8206,0.8046
58400,0.7607,0.8210,0.8049
58500,0.7607,0.8210,0.8048
58600,0.7607,0.8212,0.8048
58700,0.7606,0.8212,0.8042
58800,0.7605,0.8211,0.8036
58900,0.7605,0.8212,0.8034
59000,0.7606,0.8213,0.8035
59100,0.7607,0.8213,0.8035
59200,0.7606,0.8213,0.8040
59300,0.7606,0.8210,0.8041
59400,0.7606,0.8210,0.8041
59500,0.7605,0.8208,0.8041
59600,0.7605,0.8210,0.8042
59700,0.7606,0.8209,0.8041
59800,0.7607,0.8209,0.8043
59900,0.7606,0.8201,0.8044
60000,0.7607,0.8202,0.8045
60100,0.7608,0.8199,0.8046
60200,0.7608,0.8203,0.8048
60300,0.7608,0.8204,0.8048
60400,0.7607,0.8200,0.8044
60500,0.7607,0.8200,0.8044
60600,0.7607,0.8199,0.8043
60700,0.7607,0.8197,0.8044
60800,0.7607,0.8196,0.8045
